FOREX,0,,,,,,,,,,
,,,,,,,,,,,
Monthly Payments,,,,Annual Payments,,,,,Tution Payments,,
Category Group,Category,Monthly Budget,,Category Group,Category,Annual Budget,Notes,,Category Group,Category,Annual Budget
Fixed,Rent,945,,Fixed,Phone + Wifi,570,12 mos,,Tuition,July ,7323.4
Fixed,Electricity,100,,Fixed,Renter's Insurance,125,12 mos,,Tuition,August,7323.4
Fixed,Gas,30,,Fixed,Health Insurance,1500,10 mos,,Tuition,September ,7323.4
Fixed,Subscriptions,30,,,,,,,Tuition,October,7323.4
Essential,Groceries,200,,,,,,,Tuition,November,7323.4
Essential,Household and Toiletries,60,,,,,,,Tuition,December,7323.4
Essential,Transportation,100,,,,,,,Tuition,January,7323.4
Essential,Medical and Health,50,,,,,,,Tuition,February,7323.4
Lifestyle,Eating Out,150,,,,,,,Tuition,March ,7323.4
Lifestyle,Social Events,50,,,,,,,Tuition,April,7323.4
Lifestyle,Hobbies,50,,,,,,,Fixed,Payment Plan Enrollment,100
Sinking,School Supplies,50,,,,,,,,,
Sinking,Shopping,50,,,,,,,,,
Sinking,Beauty and Grooming,50,,,,,,,,,
Sinking,Travel,50,,,,,,,,,
Sinking,Others,30,,,,,,,,,
,,,,,,,,,,,
,Essentials,"1,515",,,,,,,,,
,Non Essentials,480,,,,,,,,,
,Total,"1,995",,,Total,"2,195",,,,Total,"73,334"
,,,,,,,,,,,
,,"19,950",,,,"2,195",,,,,"73,334"
