Monthly Budget,"$1,995.00",,,,,,,,,,,
Category Group,,,Monthly Spend,,,,,,,,,
Fixed,Category,Budget,August 2026,September 2026,October 2026,November 2026,December 2026,January 2027,February 2027,March 2027,April 2027,May 2027
Fixed,Rent,$970,$970.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Fixed,Electricity,$80,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Fixed,Gas,$30,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Fixed,Subscriptions,$30,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Essential,Groceries,$200,$180.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Essential,Household and Toiletries,$60,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Essential,Transportation,$100,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Essential,Medical and Health,$50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Lifestyle,Eating Out,$150,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Lifestyle,Social,$50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Lifestyle,Hobbies,$50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Sinking,School Supplies,$50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Sinking,Shopping,$50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Sinking,Beauty and Grooming,$50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Sinking,Travel,$50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Sinking,Others,$30,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Misc,Transfers,,"$2,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
,Total Spend,"$1,970","$1,150.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
,Budget Left,,$845.00,"$1,995.00","$1,995.00","$1,995.00","$1,995.00","$1,995.00","$1,995.00","$1,995.00","$1,995.00","$1,995.00"
Income,Salary,,$100.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Income,Cashback,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Income,Others,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
Misc,Transfers,,"$2,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
,Total Income,,$100.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
,Total Savings,,$945.00,"$1,995.00","$1,995.00","$1,995.00","$1,995.00","$1,995.00","$1,995.00","$1,995.00","$1,995.00","$1,995.00"
